target,objective,feature_mode,model,incumbent_diet,incumbent_value,candidate_name,byproduct_type,inclusion_pct,is_observed_pct,mu,sigma,ei,predicted_improvement
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Orujo50,orujo,50.0,True,10.283291885452412,0.6001251536867892,1.4650639367152816e-18,-5.035085760982918
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Orujo51,orujo,51.0,False,10.338557718020459,0.5974658927513834,2.3434933621948368e-18,-4.979819928414871
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Orujo52,orujo,52.0,False,10.3939501681402,0.5958661271186795,4.2711507655662454e-18,-4.924427478295129
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Orujo53,orujo,53.0,False,10.449445417844256,0.5953148830977757,8.808320233104893e-18,-4.868932228591074
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Orujo54,orujo,54.0,False,10.505019181388317,0.5957947362106488,2.036018870919574e-17,-4.813358465047013
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Orujo55,orujo,55.0,False,10.560653208049594,0.5972858201250436,5.216216766677826e-17,-4.757724438385736
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Orujo56,orujo,56.0,False,10.616337262635623,0.5997671853554746,1.4630731774941484e-16,-4.702040383799707
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Orujo57,orujo,57.0,False,10.672068831320416,0.6032169024164673,4.4344074569476935e-16,-4.646308815114914
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Orujo58,orujo,58.0,False,10.72785174990946,0.6076117166632823,1.432837969059872e-15,-4.59052589652587
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Orujo59,orujo,59.0,False,10.783694323559708,0.6129266922648491,4.868871041099922e-15,-4.5346833228756225
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Orujo60,orujo,60.0,False,10.839607135955207,0.619135061543511,1.716668576115682e-14,-4.478770510480123
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Orujo61,orujo,61.0,False,10.895600531838184,0.626208371447158,6.199240860376848e-14,-4.422777114597146
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Orujo62,orujo,62.0,False,10.95168164392268,0.634116953383169,2.2650546325618264e-13,-4.366696002512651
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Orujo63,orujo,63.0,False,11.007850800995934,0.6428307085253926,8.279926222069979e-13,-4.310526845439396
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Orujo64,orujo,64.0,False,11.064097205168622,0.6523201764444717,2.9977739446381817e-12,-4.254280441266708
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Orujo65,orujo,65.0,False,11.120393941886306,0.6625578203598104,1.065501948342952e-11,-4.197983704549024
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Orujo66,orujo,66.0,False,11.17669276871653,0.6735193939772438,3.689839547807103e-11,-4.1416848777188005
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Orujo67,orujo,67.0,False,11.232919864137717,0.6851851206594607,1.237141403424503e-10,-4.085457782297613
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Orujo68,orujo,68.0,False,11.288975050208968,0.6975401687362656,3.9954392444003435e-10,-4.029402596226362
